state,municipality,address,banner,posted,type,region,group,link
NY,Jamaica,168-07 Hillside Ave,Premium Supermarket,2/21/2020,Snapshot,NYC,JAMAICA NORTH,https://independent.marketreportblog.com/2020/02/snapshot-premium-supermarket-jamaica-ny.html
NY,Jamaica,87-54 168th Pl,Kawran Bazar Supermarket,2/22/2020,Snapshot,NYC,JAMAICA NORTH,https://independent.marketreportblog.com/2020/02/snapshot-kawran-bazar-supermarket.html
NY,Jamaica,169-15 Hillside Ave,CTown Supermarkets,2/23/2020,Tour,NYC,JAMAICA NORTH,https://www.marketreportblog.com/2020/02/tour-ctown-supermarkets-jamaica-estates.html
NY,Jamaica,175-35 Hillside Ave,Ideal Food Basket,2/24/2020,Tour,NYC,JAMAICA NORTH,https://www.marketreportblog.com/2020/02/tour-ideal-food-basket-jamaica-estates.html
NY,Great Neck,40 Great Neck Rd,Best Market,2/26/2020,Snapshot,LONG ISLAND,NORTH HEMPSTEAD,https://www.marketreportblog.com/2020/02/snapshot-best-market-great-neck-ny.html
NY,Great Neck,181 Middle Neck Rd,Associated Supermarkets,2/27/2020,Tour,LONG ISLAND,NORTH HEMPSTEAD,https://www.marketreportblog.com/2020/02/tour-associated-supermarkets-great-neck.html
NY,Roslyn,374 Roslyn Rd,Holiday Farms,2/28/2020,Tour,LONG ISLAND,NORTH HEMPSTEAD,https://independent.marketreportblog.com/2020/02/tour-holiday-farms-roslyn-heights-ny.html
NY,Albertson,1050 Willis Ave,The Food Emporium,2/29/2020,Tour,LONG ISLAND,NORTH HEMPSTEAD,https://www.marketreportblog.com/2020/02/tour-food-emporium-albertson-ny.html
NY,Garden City,870 Franklin Ave,Kings Food Markets,3/1/2020,Snapshot,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/snapshot-kings-food-markets-garden-city.html
NY,Garden City,153-157 7th St,Key Food Marketplace,3/2/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-key-food-marketplace-garden-city-ny.html
NY,Garden City,140 7th St,Natural Market,3/3/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/tour-natural-market-garden-city-ny.html
NY,Hempstead,401 Fulton Ave,Bravo Supermarkets,3/4/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-bravo-supermarkets-hempstead-ny.html
NY,Hempstead,386 Fulton Ave,Key Food Supermarkets,3/5/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-key-food-supermarkets-hempstead-ny.html
NY,Hempstead,301 Jerusalem Ave,Foodtown,3/6/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-super-foodtown-hemsptead-ny.html
NY,Hempstead,445 S Franklin St,CTown Supermarkets,3/7/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-ctown-supermarkets-hempstead-ny.html
NY,Baldwin,1197 Grand Ave,Fruit Tree Farm,3/8/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/tour-fruit-tree-farm-baldwin-ny.html
NY,Baldwin,1764 Grand Ave,Pathmark (former),3/9/2020,Snapshot,LONG ISLAND,TOWN OF HEMPSTEAD,http://groceryarchaeology.marketreportblog.com/2020/03/1764-grand-ave-baldwin-ny.html
NY,Baldwin,856 Merrick Rd,Ideal Food Basket,3/10/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-ideal-food-basket-baldwin-ny.html
NY,Baldwin,2485 Grand Ave,GalaFresh Farms,3/11/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-galafresh-farms-baldwin-ny.html
NY,Rockville Centre,160 N Long Beach Rd,Associated Supermarkets,3/12/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-associated-supermarkets-rockville.html
NY,Rockville Centre,127 Sunrise Hwy,King Kullen,3/13/2020,Snapshot,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/snapshot-king-kullen-rockville-centre-ny.html
NY,Rockville Centre,399 Ocean Ave,Key Food Supermarkets,3/14/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-key-food-supermarkets-rockville_14.html
NY,Valley Stream,230 Rockaway Ave,T&F Pork Store,3/15/2020,Snapshot,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/snapshot-t-pork-store-valley-stream-ny.html
NY,Valley Stream,214 Rockaway Ave,CTown Supermarkets,3/16/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-ctown-supermarkets-valley-stream-ny.html
NY,Valley Stream,206 Rockaway Ave,Valley Grocery Mart,3/17/2020,Snapshot,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/snapshot-valley-grocery-mart-valley.html
NY,Valley Stream,500 W Merrick Rd,Food World Supermarkets,3/18/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/tour-food-world-supermarket-valley.html
NY,Valley Stream,351 N Central Ave,Food Farm Supermarket,3/19/2020,Look Inside,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/look-inside-food-farm-supermarket.html
NY,Elmont,29 Village Ave,CTown Supermarkets,3/20/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-ctown-supermarkets-elmont-ny.html
NY,Valley Stream,1805 N Central Ave,Key Food Supermarkets,3/20/2020,Tour,LONG ISLAND,TOWN OF HEMPSTEAD,https://www.marketreportblog.com/2020/03/tour-key-food-supermarkets-valley.html
NY,Elmont,241-11 Linden Blvd,Food Farm Supermarket,3/21/2020,Snapshot,LONG ISLAND,TOWN OF HEMPSTEAD,https://independent.marketreportblog.com/2020/03/snapshot-food-farm-supermarket-elmont-ny.html
NY,Cambria Heights,217-20 Linden Blvd,Farmbria Food Center,3/24/2020,Tour,NYC,JAMAICA SOUTH,https://independent.marketreportblog.com/2020/03/look-inside-farmbria-food-center.html
NY,Saint Albans,171-11 Linden Blvd,Key Food Supermarkets,3/25/2020,Snapshot,NYC,JAMAICA SOUTH,https://www.marketreportblog.com/2020/03/snapshot-key-food-supermarkets-saint.html
NY,Jamaica,115-34 Sutphin Blvd,Fine Fare Supermarkets,3/26/2020,Snapshot,NYC,JAMAICA SOUTH,https://www.marketreportblog.com/2020/03/snapshot-fine-fare-supermarkets-south.html
NY,Jamaica,119-14 Sutphin Blvd,Food World Supermarkets,3/27/2020,Tour,NYC,JAMAICA SOUTH,https://independent.marketreportblog.com/2020/03/tour-food-world-supermarket-south.html
NY,Jamaica,142-36 Foch Blvd,Ideal Food Basket,3/28/2020,Snapshot,NYC,JAMAICA SOUTH,https://www.marketreportblog.com/2020/03/snapshot-ideal-food-basket-south-ozone.html
NY,South Ozone Park,127-20 Rockaway Blvd,Farmboy Country Market,3/29/2020,Tour,NYC,JAMAICA SOUTH,https://independent.marketreportblog.com/2020/03/tour-farmboy-country-market-south-ozone.html
NY,Ozone Park,96-09 Liberty Ave,Compare Foods,3/31/2020,Snapshot,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://www.marketreportblog.com/2020/03/snapshot-compare-foods-ozone-park-ny.html
NY,Ozone Park,88-13 Liberty Ave,Milk Farm Supermarket,4/1/2020,Tour,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://independent.marketreportblog.com/2020/04/tour-milk-farm-supermarket-ozone-park-ny.html
NY,Ozone Park,78-19 101st Ave,Ozone Park Supermarket,4/2/2020,Snapshot,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://independent.marketreportblog.com/2020/04/snapshot-ozone-park-supermarket-ozone.html
NY,Ozone Park,101-16 77th St,Golden Farms,4/3/2020,Tour,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://independent.marketreportblog.com/2020/04/tour-golden-farms-supermarket-ozone.html
NY,Howard Beach,133-40 79th St,Shop Fair Supermarkets (former),4/4/2020,Snapshot,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,http://groceryarchaeology.marketreportblog.com/2020/04/133-40-79th-st-howard-beach-ny.html
NY,Howard Beach,82-35 153rd Ave,The Food Emporium,4/5/2020,Tour,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://www.marketreportblog.com/2020/04/tour-food-emporium-howard-beach-ny.html
NY,Howard Beach,163-30 Crossbay Blvd,Key Food Supermarkets,4/6/2020,Tour,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://www.marketreportblog.com/2020/04/tour-key-food-supermarkets-howard-beach.html
NY,Brooklyn,590 Gateway Dr,ShopRite,4/7/2020,Tour,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://www.marketreportblog.com/2020/04/tour-shoprite-east-new-york-brooklyn-ny.html
NY,Brooklyn,111-10 Flatlands Ave,Food Bazaar Supermarket,4/8/2020,Tour,NYC,OZONE PARK - HOWARD BEACH - EAST NEW YORK,https://www.marketreportblog.com/2020/04/tour-food-bazaar-east-new-york-brooklyn.html
NY,Ridgewood,870 Cypress Ave,Billy's Marketplace,4/10/2020,Tour,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/tour-billys-marketplace-ridgewood-ny.html
NY,Brooklyn,1410 Myrtle Ave,Mr. V Berry,4/11/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-mr-v-berry-bushwick-brooklyn-ny.html
NY,Brooklyn,410 Knickerbocker Ave,Mr. Lemon,4/12/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-mr-lemon-bushwick-brooklyn-ny.html
NY,Brooklyn,341 Knickerbocker Ave,Hi! Mango Natural Market,4/13/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-hi-mango-natural-market.html
NY,Brooklyn,272 Knickerbocker Ave,The Angel's Food Market,4/14/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-angels-fruit-market-bushwick.html
NY,Brooklyn,268 Knickerbocker Ave,Tang Long Market,4/15/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-tang-long-food-market-bushwick.html
NY,Brooklyn,229 Knickerbocker Ave,City Fresh Market,4/16/2020,Tour,NYC,BUSHWICK - RIDGEWOOD,https://www.marketreportblog.com/2020/04/tour-city-fresh-market-bushwick.html
NY,Brooklyn,1305 Myrtle Ave,Fine Fare Supermarkets,4/17/2020,Look Inside,NYC,BUSHWICK - RIDGEWOOD,https://www.marketreportblog.com/2020/04/look-inside-fine-fare-supermarkets.html
NY,Brooklyn,1218 Myrtle Ave,Myrtle Market Place,4/18/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-myrtle-market-place-bushwick.html
NY,Brooklyn,984 Broadway,Sprout Market,4/19/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/snapshot-sprout-market-bushwick.html
NY,Brooklyn,832 Flushing Ave,CTown Supermarkets (former),4/20/2020,Snapshot,NYC,BUSHWICK - RIDGEWOOD,http://groceryarchaeology.marketreportblog.com/2020/04/832-flushing-ave-brooklyn-ny.html
NY,Brooklyn,91 Humboldt St,Bravo Supermarkets,4/21/2020,Tour,NYC,BUSHWICK - RIDGEWOOD,https://www.marketreportblog.com/2020/04/tour-bravo-supermarkets-bushwick-north.html
NY,Brooklyn,535 Marcy Ave,Market Fresh Supermarket,4/22/2020,Look Inside,NYC,BUSHWICK - RIDGEWOOD,https://independent.marketreportblog.com/2020/04/look-inside-market-fresh-supermarket.html
NY,Brooklyn,1133 Washington Ave,OEG Fruit & Vegetables,4/24/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/04/snapshot-oeg-fruit-vegetables-plg.html
NY,Brooklyn,534 Flatbush Ave,Wholesome Gourmet Market,4/25/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/04/look-inside-wholesome-gourmet-market.html
NY,Brooklyn,33 Lincoln Rd,Lincoln Market,4/26/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/04/tour-lincoln-market-plg-brooklyn-ny.html
NY,Brooklyn,565 Flatbush Ave,OJ Fruits & Vegetables,4/27/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/04/snapshot-oj-fruit-vegetable-corp-plg.html
NY,Brooklyn,650 Flatbush Ave,Associated Supermarkets,4/28/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/04/tour-associated-supermarkets-plg.html
NY,Brooklyn,191-199 Flatbush Ave,Pioneer Supermarkets,4/29/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/04/tour-pioneer-supermarkets-plg-brooklyn.html
NY,Brooklyn,752 Flatbush Ave,Flatbush Market,4/30/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/04/look-inside-flatbush-market-flatbush.html
NY,Brooklyn,786 Flatbush Ave,Key Food Supermarkets,5/1/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-key-food-supermarkets-flatbush.html
NY,Brooklyn,781 Flatbush Ave,2S Mart (former),5/2/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,http://groceryarchaeology.marketreportblog.com/2020/05/781-flatbush-ave-brooklyn-ny.html
NY,Brooklyn,818 Flatbush Ave,Star Best Farm Market,5/3/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-star-best-farm-market.html
NY,Brooklyn,1824 Church Ave,Church Fruit Farm,5/4/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-church-fruit-farm-flatbush.html
NY,Brooklyn,1823 Church Ave,Great Vegetable Farm,5/5/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-great-vegetable-farm.html
NY,Brooklyn,1815 Church Ave,Mundo Supermarket,5/6/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-mundo-supermarket-flatbush.html
NY,Brooklyn,1811 Church Ave,Meat Palace Supreme,5/7/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-meat-palace-supreme.html
NY,Brooklyn,1701 Church Ave,Downtown Natural Market,5/8/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-downtown-natural-market.html
NY,Brooklyn,1301 Church Ave,Ideal Food Basket,5/9/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-ideal-food-basket-flatbush.html
NY,Brooklyn,630 Caton Ave,One Stop Market,5/10/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-one-stop-market-flatbush.html
NY,Brooklyn,710 Coney Island Ave,Ideal Food Basket,5/11/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-ideal-food-basket-prospect-park.html
NY,Brooklyn,1102 Cortelyou Rd,Natural Frontier Market,5/12/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-natural-frontier-market.html
NY,Brooklyn,1415 Cortelyou Rd,Flatbush Food Co-Op,5/13/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/tour-flatbush-food-coop-prospect-park.html
NY,Brooklyn,1610 Cortelyou Rd,Key Food Supermarkets,5/14/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-cortelyou-market-by-key-food.html
NY,Brooklyn,1126 Flatbush Ave,JK Flatbush Farm,5/15/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-jk-flatbush-farm-flatbush.html
NY,Brooklyn,2200 Clarendon Rd,Key Food Supermarkets (former),5/16/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,http://groceryarchaeology.marketreportblog.com/2020/05/2200-clarendon-rd-brooklyn-ny.html
NY,Brooklyn,1156 Flatbush Ave,Plum Tree,5/17/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-plum-tree-flatbush-brooklyn-ny.html
NY,Brooklyn,1188 Flatbush Ave,Food Universe Marketplace,5/18/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-food-universe-marketplace-flatbush.html
NY,Brooklyn,1761 Nostrand Ave,CTown Supermarkets,5/19/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-ctown-supermarkets-flatbush.html
NY,Brooklyn,1861 Nostrand Ave,Green Village Meat Market,5/20/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-green-village-meat-market.html
NY,Brooklyn,1881 Nostrand Ave,Isaac Natural Foods,5/21/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-isaac-natural-foods-flatbush.html
NY,Brooklyn,1887 Nostrand Ave,KP Farm Market,5/22/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-kp-farm-market-flatbush.html
NY,Brooklyn,1891 Nostrand Ave,The Meat Place,5/23/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-meat-place-flatbush-south.html
NY,Brooklyn,1905 Nostrand Ave,Key Food Supermarkets,5/24/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-key-food-supermarkets-flatbush_24.html
NY,Brooklyn,1498 Flatbush Ave,Fine Fare Supermarkets,5/25/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-fine-fare-supermarkets-midwood.html
NY,Brooklyn,1525 Albany Ave,Pathmark,5/26/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-pathmark-east-flatbush-brooklyn-ny.html
NY,Brooklyn,4206 Ave D,C&C Fruit & Vegetables,5/27/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-c-fruit-vegetables-east.html
NY,Brooklyn,4209 Ave D,CTown Supermarkets,5/28/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/05/tour-ctown-supermarkets-east-flatbush.html
NY,Brooklyn,4602 Ave D,Former Supermarket,5/29/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,http://groceryarchaeology.marketreportblog.com/2020/05/4602-ave-d-brooklyn-ny.html
NY,Brooklyn,1160 Utica Ave,Green Acre Farms,5/30/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/look-inside-green-acre-farms-east.html
NY,Brooklyn,1051 Utica Ave,Chef's Choice,5/31/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/05/snapshot-chefs-choice-cash-carry-east.html
NY,Brooklyn,890 Utica Ave,New Best Utica Market,6/1/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-new-best-utica-market-east.html
NY,Brooklyn,882 Utica Ave,Natural Food,6/2/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-jb-fruits-natural-food-east.html
NY,Brooklyn,4806 Church Ave,Ideal Food Basket,6/3/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-ideal-food-basket-east-flatbush.html
NY,Brooklyn,4724 Church Ave,JS Church Farm,6/4/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-js-church-farm-east-flatbush.html
NY,Brooklyn,4121 Church Ave,Shop Fair Supermarkets,6/5/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-shop-fair-supermarkets-east.html
NY,Brooklyn,4102 Church Ave,Former Supermarket,6/6/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,http://groceryarchaeology.marketreportblog.com/2020/06/4102-church-ave-brooklyn-ny.html
NY,Brooklyn,4003 Church Ave,Church Farm Market,6/7/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-church-farm-market-east.html
NY,Brooklyn,1086 Brooklyn Ave,Ideal Food Basket,6/8/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-ideal-food-basket-east-flatbush_8.html
NY,Brooklyn,3114 Church Ave,Country Coco,6/9/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/look-inside-country-coco-flatbush.html
NY,Brooklyn,3008 Church Ave,MK Marketplace,6/10/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/tour-mk-marketplace-flatbush-brooklyn-ny.html
NY,Brooklyn,2720 Church Ave,Shop Fair Supermarkets,6/11/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-shop-fair-supermarkets-flatbush.html
NY,Brooklyn,1427 Nostrand Ave,JK Joe Farm,6/12/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-jk-joe-farm-flatbush-brooklyn.html
NY,Brooklyn,1423 Nostrand Ave,The Meat Place,6/13/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-meat-place-flatbush-north.html
NY,Brooklyn,1424 Nostrand Ave,Dream Farm Fruit & Vegetable,6/14/2020,Snapshot,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/snapshot-dream-farm-fruit-vegetable.html
NY,Brooklyn,1362 Nostrand Ave,CTown Supermarkets,6/15/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-ctown-supermarkets-plg-brooklyn-ny.html
NY,Brooklyn,1351 Nostrand Ave,Wholesome 360,6/16/2020,Look Inside,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://independent.marketreportblog.com/2020/06/look-inside-wholesome-360-plg-brooklyn.html
NY,Brooklyn,210 Clarkson Ave,Food Dynasty Supermarkets,6/17/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-food-dynasty-supermarkets-prospect.html
NY,Brooklyn,2036 Bedford Ave,Ideal Food Basket,6/18/2020,Tour,NYC,PROSPECT LEFFERTS GARDENS - FLATBUSH,https://www.marketreportblog.com/2020/06/tour-ideal-food-basket-plg-brooklyn-ny.html
NY,Staten Island,1071 Bay St,Top Tomato Superstore,6/21/2020,Tour,NYC,STATEN ISLAND,https://independent.marketreportblog.com/2020/06/tour-top-tomato-superstore-rosebank.html
NY,Staten Island,375 Tompkins Ave,Freshway Supermarket (former),6/22/2020,Snapshot,NYC,STATEN ISLAND,http://groceryarchaeology.marketreportblog.com/2020/06/375-tompkins-ave-staten-island-ny.html
NY,Staten Island,570 Tompkins Ave,Market Fresh Supermarket,6/23/2020,Tour,NYC,STATEN ISLAND,https://independent.marketreportblog.com/2020/06/tour-market-fresh-supermarket-rosebank.html
NY,Staten Island,2071 Clove Rd,CTown Supermarkets,6/24/2020,Tour,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/06/tour-ctown-supermarkets-grasmere-staten.html
NY,Staten Island,1490 Clove Rd,Olive Tree Marketplace,6/25/2020,Tour,NYC,STATEN ISLAND,https://independent.marketreportblog.com/2020/06/tour-olive-tree-marketplace-sunnyside.html
NY,Staten Island,778 Manor Rd,Waldbaum's (former),6/26/2020,Look Inside,NYC,STATEN ISLAND,http://groceryarchaeology.marketreportblog.com/2020/06/778-manor-rd-staten-island-ny.html
NY,Staten Island,778 Manor Rd,CTown Supermarkets,6/27/2020,Tour,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/06/tour-ctown-supermarkets-castleton.html
NY,Staten Island,778 Manor Rd,SuperFresh,6/28/2020,Look Inside,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/06/look-inside-superfresh-castleton.html
NY,Staten Island,1795 Victory Blvd,Met Foodmarkets,6/29/2020,Tour,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/06/tour-met-foodmarkets-castleton-corners.html
NY,Staten Island,1933 Victory Blvd,Safeway (former),6/30/2020,Look Inside,NYC,STATEN ISLAND,http://groceryarchaeology.marketreportblog.com/2020/06/1933-victory-blvd-staten-island-ny.html
NY,Staten Island,2241 Victory Blvd,Beyar's Market,7/1/2020,Tour,NYC,STATEN ISLAND,https://independent.marketreportblog.com/2020/07/tour-beyars-market-westerleigh-staten.html
NY,Staten Island,985 Richmond Ave,ShopRite,7/2/2020,Snapshot,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/07/snapshot-shoprite-graniteville-staten.html
NY,Staten Island,2040 Forest Ave,Western Beef Supermarket,7/3/2020,Tour,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/07/tour-western-beef-supermarket.html
NY,Staten Island,3579 Victory Blvd,Associated Fresh Market,7/4/2020,Tour,NYC,STATEN ISLAND,https://www.marketreportblog.com/2020/07/tour-associated-fresh-market-bulls-head.html
NY,Manhattan,99 John St,Jubilee Marketplace,7/6/2020,Snapshot,NYC,SOUTHERN MANHATTAN,https://independent.marketreportblog.com/2020/07/snapshot-jubilee-marketplace-financial.html
